Parameter,Layer,Role,DefaultValue,ForestValue,ChangedInForest,CredibilityAction,Priority,EvidenceStatus
utility_required_protection_urgency_scale,Core-method,"Maps state risk to timely/protection requirements.","0.12","0.12",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_bias,Core-method,"Maps state risk to timely/protection requirements.","0.18","0.18",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_blind_scale,Core-method,"Maps state risk to timely/protection requirements.","0.14","0.14",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_link_risk_scale,Core-method,"Maps state risk to timely/protection requirements.","0.2","0.2",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_max,Core-method,"Maps state risk to timely/protection requirements.","0.92","0.92",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_min,Core-method,"Maps state risk to timely/protection requirements.","0.25","0.25",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_pos_risk_scale,Core-method,"Maps state risk to timely/protection requirements.","0.16","0.16",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_qpos_high_threshold,Core-method,"Maps state risk to timely/protection requirements.","0.75","0.75",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_qpos_low_scale,Core-method,"Maps state risk to timely/protection requirements.","1","1",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_qpos_low_threshold,Core-method,"Maps state risk to timely/protection requirements.","0.5","0.5",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_qpos_mid_scale,Core-method,"Maps state risk to timely/protection requirements.","0.5","0.5",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
utility_required_timely_urgency_scale,Core-method,"Maps state risk to timely/protection requirements.","0.34","0.34",0,SensitivityAndJustification,P0,"Partial: structure exists; thresholds still need bounded sensitivity evidence."
action_mode_set,Core-method,"Finite action space and communication-cost model.","[0,1,2]","[0,1,2]",0,AblationOrRangeCheck,P1,"Partial: cost efficiency evidence exists; action-space robustness still useful."
action_priority_set,Core-method,"Finite action space and communication-cost model.","[1,2,3]","[1,2,3]",0,AblationOrRangeCheck,P1,"Partial: cost efficiency evidence exists; action-space robustness still useful."
action_rate_multiplier_set,Core-method,"Finite action space and communication-cost model.","[1,1.35,1.7,2.1,2.5]","[1,1.35,1.7,2.1,2.5]",0,AblationOrRangeCheck,P1,"Partial: cost efficiency evidence exists; action-space robustness still useful."
priority_rate_scale,Core-method,"Finite action space and communication-cost model.","[1,1.5,2]","[1,1.5,2]",0,AblationOrRangeCheck,P1,"Partial: cost efficiency evidence exists; action-space robustness still useful."
tx_cost_direct,Core-method,"Finite action space and communication-cost model.","1","1",0,AblationOrRangeCheck,P1,"Partial: cost efficiency evidence exists; action-space robustness still useful."
tx_cost_redundant,Core-method,"Finite action space and communication-cost model.","1.6","1.6",0,AblationOrRangeCheck,P1,"Partial: cost efficiency evidence exists; action-space robustness still useful."
tx_cost_relay,Core-method,"Finite action space and communication-cost model.","1.8","1.8",0,AblationOrRangeCheck,P1,"Partial: cost efficiency evidence exists; action-space robustness still useful."
deadline_coop,Scenario-definition,"Message latency requirement.","0.18","0.2",1,ScenarioSensitivity,P1,"Partial: Step28 sensitivity exists; align future runs with proposed method."
deadline_coop_physical,Scenario-definition,"Message latency requirement.","0.18","0.2",1,ScenarioSensitivity,P1,"Partial: Step28 sensitivity exists; align future runs with proposed method."
deadline_emergency,Scenario-definition,"Message latency requirement.","0.07","0.077",1,ScenarioSensitivity,P1,"Partial: Step28 sensitivity exists; align future runs with proposed method."
deadline_emergency_physical,Scenario-definition,"Message latency requirement.","0.07","0.077",1,ScenarioSensitivity,P1,"Partial: Step28 sensitivity exists; align future runs with proposed method."
deadline_guard_min_urgency,Scenario-definition,"Message latency requirement.","0.8","0.8",0,ScenarioSensitivity,P1,"Partial: Step28 sensitivity exists; align future runs with proposed method."
deadline_guard_ratio,Scenario-definition,"Message latency requirement.","0.82","0.82",0,ScenarioSensitivity,P1,"Partial: Step28 sensitivity exists; align future runs with proposed method."
deadline_normal,Scenario-definition,"Message latency requirement.","0.5","0.5",0,ScenarioSensitivity,P1,"Partial: Step28 sensitivity exists; align future runs with proposed method."
deadline_normal_physical,Scenario-definition,"Message latency requirement.","0.5","0.5",0,ScenarioSensitivity,P1,"Partial: Step28 sensitivity exists; align future runs with proposed method."
attempt_gap,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.014","0.014",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
base_access_delay,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.012","0.012",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
blind_interference_scale_dB,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","2.5","3.2",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
blind_link_loss_scale_dB,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","5.5","7.5",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
blind_zone_trigger_threshold,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","0.55","0.5",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
congestion_delay_max,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.045","0.045",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
emergency_sinr_bonus,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","1","1",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
fast_fading_sigma_los,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","2","2",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
fast_fading_sigma_nlos,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","5","5",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
interference_scale,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","1.8","2.3",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
link_distance_scale,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","1","1.8",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
mode_overhead_redundant,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.012","0.012",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
mode_overhead_relay,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.03","0.03",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
nlosv_extra_loss_dB,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","5","7",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
noise_floor_dBm,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","-94","-94",0,SourceOrCalibration,P1,"Needs source or range citation if reported."
pathloss_los_exponent,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","20","28.5",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
pathloss_los_offset_dB,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","47","48.3",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
pathloss_nlos_exponent,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","24","37.5",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
pathloss_nlos_offset_dB,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","50","52.9",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
pdr_midpoint_los,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","4","4",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
pdr_midpoint_nlos,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","6","6",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
pdr_slope_los,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.9","0.9",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
pdr_slope_nlos,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.7","0.7",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
per_curve_los_tag,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","highway_los","highway_los",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
per_curve_nlos_tag,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","urban_nlos","urban_nlos",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
priority_sinr_gain,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.5","0.5",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
relay_delay_penalty,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.12","0.12",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
relay_hop2_sinr_offset_dB,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","1.5","1.5",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
relay_link_ratio,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.8","0.8",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
relay_nlos_to_los_prob,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.35","0.35",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
relay_sinr_offset_dB,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","2.5","2.5",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
relay_success_bonus,Simulation-environment,"Physical delivery, PER, relay, and MAC-delay approximation.","0.15","0.15",0,CrossValidateOrCite,P1,"Partial: PER lookup and relay random consistency evidence exists."
tx_power_dBm,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","23","22",1,SourceOrCalibration,P1,"Partial: forest calibration changes this parameter; verify source mapping."
use_veg_attenuation,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","false","false",0,SourceOrCalibration,P1,"Needs source or range citation if reported."
veg_attenuation_base_coeff,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","0.8","0.8",0,SourceOrCalibration,P1,"Needs source or range citation if reported."
veg_attenuation_interference_coeff,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","0.18","0.18",0,SourceOrCalibration,P1,"Needs source or range citation if reported."
veg_attenuation_length_coeff,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","1","1",0,SourceOrCalibration,P1,"Needs source or range citation if reported."
veg_attenuation_scale,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","1","1",0,SourceOrCalibration,P1,"Needs source or range citation if reported."
veg_attenuation_score_coeff,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","1.6","1.6",0,SourceOrCalibration,P1,"Needs source or range citation if reported."
veg_attenuation_shadowing_coeff,Simulation-environment,"Forest/channel/occlusion physical environment parameter.","0.65","0.65",0,SourceOrCalibration,P1,"Needs source or range citation if reported."
confidence_regime_blind_threshold,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.18","0.135052",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
confidence_regime_hold_blind_threshold,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.42","0.42",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
confidence_regime_hold_qpos_threshold,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.52","0.52",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
confidence_regime_qpos_threshold,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.72","0.764948",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
env_event_trigger_threshold,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.22","0.18",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
event_priority_bias,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.06","0.06",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
event_rate_scale_gain,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.22","0.22",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
event_synergy_gain,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.45","0.45",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
forest_calibration.stats.position_gnss_independent_noise_std,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","","0.133938",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
forest_calibration.stats.position_gnss_multipath_noise_std,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","","0.209896",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_alpha_base,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.42","0.42",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_alpha_blind_scale,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.22","0.28",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_alpha_delta_scale,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.28","0.28",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_alpha_max,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.95","0.97",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_alpha_min,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.35","0.35",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_alpha_traj_scale,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.18","0.18",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_blind_zone_score_penalty,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.22","0.289896",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_blind_zone_sigma_penalty,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","1.2","1.55453",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_env_peak_time,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","78","78",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_filter_process_noise,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.06","0.06",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_filter_velocity_noise,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.03","0.03",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_gnss_independent_noise_std,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.08","0.133938",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_gnss_independent_temporal_len,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","12","15",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_gnss_multipath_noise_std,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.12","0.209896",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_gnss_multipath_temporal_len,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","8","10",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_risk_penalty,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.14","0.14",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_rsu_coverage,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","[58,52,46,62]","[58,52,46,62]",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_rsu_relief_cap,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.82","0.752125",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_rsu_x,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","[22,64,96,142]","[22,64,96,142]",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_rsu_y,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","[8,-9,10,-8]","[8,-9,10,-8]",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_support_threshold,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.18","0.18",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_weight_env,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.15","0.15",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_weight_gnss,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.45","0.45",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_weight_rsu,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.22","0.22",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
position_weight_traj,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.18","0.18",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
rsu_event_trigger_threshold,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","0.45","0.48",1,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
scenario_input.gnss_config_file,State-estimation-input,"Positioning confidence, sparse support, or risk-state construction.","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\forest_demo_gnss_config.csv","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\forest_demo_gnss_config.csv",0,AblationAndMapping,P2,"Partial: module ablation exists; mapping still should be documented."
aoi_age_norm_cap,Baseline-only,"Literature-inspired baseline setting.","8","8",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
aoi_critical_threshold,Baseline-only,"Literature-inspired baseline setting.","0.8","0.8",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
aoi_default_mode,Baseline-only,"Literature-inspired baseline setting.","0","0",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
aoi_high_threshold,Baseline-only,"Literature-inspired baseline setting.","0.55","0.55",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
aoi_redundant_threshold,Baseline-only,"Literature-inspired baseline setting.","0.55","0.55",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
dcc_cbr_high_threshold,Baseline-only,"Literature-inspired baseline setting.","0.65","0.65",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
dcc_cbr_low_threshold,Baseline-only,"Literature-inspired baseline setting.","0.25","0.25",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
dcc_coop_priority,Baseline-only,"Literature-inspired baseline setting.","2","2",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
dcc_direct_mode_threshold,Baseline-only,"Literature-inspired baseline setting.","0.3","0.3",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
dcc_emergency_priority,Baseline-only,"Literature-inspired baseline setting.","3","3",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
dcc_rate_multiplier_high,Baseline-only,"Literature-inspired baseline setting.","1.7","1.7",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
dcc_rate_multiplier_low,Baseline-only,"Literature-inspired baseline setting.","1","1",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
dcc_rate_multiplier_mid,Baseline-only,"Literature-inspired baseline setting.","1.35","1.35",0,KeepAsBaselineSetting,P3,"Not part of proposed method; report as baseline configuration."
T_total,Scenario-definition,"Scenario timing, message generation, and external input configuration.","120","120",0,ReportSetting,P3,"Scenario setup parameter."
base_rate_coop,Scenario-definition,"Scenario timing, message generation, and external input configuration.","2","2",0,ReportSetting,P3,"Scenario setup parameter."
base_rate_emergency,Scenario-definition,"Scenario timing, message generation, and external input configuration.","1.5","1.5",0,ReportSetting,P3,"Scenario setup parameter."
base_rate_normal,Scenario-definition,"Scenario timing, message generation, and external input configuration.","1","1",0,ReportSetting,P3,"Scenario setup parameter."
dt,Scenario-definition,"Scenario timing, message generation, and external input configuration.","0.2","0.2",0,ReportSetting,P3,"Scenario setup parameter."
scenario_input.blockage_profile_file,Scenario-definition,"Scenario timing, message generation, and external input configuration.","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\v2xseq_scene10014_blockage_profile.csv","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\v2xseq_scene10014_blockage_profile.csv",0,ReportSetting,P3,"Scenario setup parameter."
scenario_input.interp_method,Scenario-definition,"Scenario timing, message generation, and external input configuration.","linear","linear",0,ReportSetting,P3,"Scenario setup parameter."
scenario_input.message_profile_file,Scenario-definition,"Scenario timing, message generation, and external input configuration.","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\v2xseq_scene10014_message_profile.csv","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\v2xseq_scene10014_message_profile.csv",0,ReportSetting,P3,"Scenario setup parameter."
scenario_input.mode,Scenario-definition,"Scenario timing, message generation, and external input configuration.","external","external",0,ReportSetting,P3,"Scenario setup parameter."
scenario_input.rsu_layout_file,Scenario-definition,"Scenario timing, message generation, and external input configuration.","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\v2xseq_scene10014_rsu_layout.csv","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\v2xseq_scene10014_rsu_layout.csv",0,ReportSetting,P3,"Scenario setup parameter."
scenario_input.strict_external,Scenario-definition,"Scenario timing, message generation, and external input configuration.","false","false",0,ReportSetting,P3,"Scenario setup parameter."
scenario_input.template_name,Scenario-definition,"Scenario timing, message generation, and external input configuration.","v2xseq_scene10014","v2xseq_scene10014",0,ReportSetting,P3,"Scenario setup parameter."
scenario_input.trajectory_file,Scenario-definition,"Scenario timing, message generation, and external input configuration.","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\v2xseq_scene10014_trajectory.csv","D:\matlab bussiness\forest_v2x_matlab_package\matlab_nav_sim\step9_data_templates\v2xseq_scene10014_trajectory.csv",0,ReportSetting,P3,"Scenario setup parameter."
urgency_coop,Scenario-definition,"Scenario timing, message generation, and external input configuration.","0.6","0.6",0,ReportSetting,P3,"Scenario setup parameter."
urgency_emergency,Scenario-definition,"Scenario timing, message generation, and external input configuration.","0.95","0.95",0,ReportSetting,P3,"Scenario setup parameter."
urgency_normal,Scenario-definition,"Scenario timing, message generation, and external input configuration.","0.3","0.3",0,ReportSetting,P3,"Scenario setup parameter."
T1,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.45","0.45",0,KeepSeparate,P4,"NotClaimed"
T2,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.72","0.72",0,KeepSeparate,P4,"NotClaimed"
abstract_confidence_protection_direct,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.04","0.04",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
abstract_confidence_protection_high,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.14","0.14",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
abstract_confidence_protection_mid,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.08","0.08",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
abstract_priority_bonus_per_level,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.05","0.05",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
abstract_rate_bonus_scale,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.03","0.03",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
abstract_redundant_gate_bonus,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","0.05","0.05",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
alpha,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.45","0.45",0,KeepSeparate,P4,"NotClaimed"
base_delay,Deprecated-or-legacy,"Legacy or auxiliary parameter not used as the Step40 proposed-method claim.","0.05","0.05",0,KeepSeparate,P4,"NotClaimed"
base_success_bias,Deprecated-or-legacy,"Old abstract model, Lyapunov attempt, or legacy heuristic setting.","-0.02","-0.02",0,DoNotClaim,P4,"Keep for reproducibility, but do not present as main-method parameter."
