Dataset,EvidenceSource,Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,BaselineTimelyCeiling,EmergencyFeasibility,NlosBlindGnssOverlap,CostGainTradeoff,StrongerBaselineDecision,ApplicabilityClass,ApplicabilityNote
HeldOut,Step58+Step59,10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,ModerateBaselineCeiling,EmergencyNeutral,LowOverlapOpenRoad,CostSavingOrNeutral,StrongerBaselineGain,EffectiveRegime,"Applicable when risk/degradation creates exploitable scheduling headroom; stronger baselines are outperformed or nonnegative. Stronger=StrongerBaselineGain; overlap=LowOverlapOpenRoad; cost=CostSavingOrNeutral."
HeldOut,Step58+Step59,10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,LowBaselineCeiling,EmergencyNeutral,LowOverlapOpenRoad,CostlySmallGain,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=LowOverlapOpenRoad; cost=CostlySmallGain."
Main,Step58+Step59,10017,LongRange,LongMixed,Medium,Mixed,Default,LowBaselineCeiling,EmergencyNeutral,ModerateOverlap,CostSavingOrNeutral,StrongerBaselineGain,EffectiveRegime,"Applicable when risk/degradation creates exploitable scheduling headroom; stronger baselines are outperformed or nonnegative. Stronger=StrongerBaselineGain; overlap=ModerateOverlap; cost=CostSavingOrNeutral."
Main,Step58+Step59,10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,ModerateBaselineCeiling,EmergencyNeutral,ModerateOverlap,CostlySmallGain,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=ModerateOverlap; cost=CostlySmallGain."
Main,Step58+Step59,10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,HighBaselineCeiling,EmergencyNeutral,HighBlindVegetationOverlap,CostlySmallGain,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=HighBlindVegetationOverlap; cost=CostlySmallGain."
Main,Step58+Step59,10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,HighBaselineCeiling,EmergencySaturatedOrHard,HighBlindVegetationOverlap,CostInefficientBoundary,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=HighBlindVegetationOverlap; cost=CostInefficientBoundary."
Main,Step60-ModerateForestGeometry,10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,ModerateBaselineCeiling,PhysicallyHardEmergency,HighBlindVegetationOverlap,CostSavingOrNeutral,StrongerBaselineGain,FailureBoundary,"Physical deadline-reliability headroom is insufficient; do not claim method dominance. Stronger=StrongerBaselineGain; overlap=HighBlindVegetationOverlap; cost=CostSavingOrNeutral."
Main,Step60-ModerateForestGeometry,10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,HighBaselineCeiling,EmergencyModerateHeadroom,ModerateOverlap,CostSavingOrNeutral,StrongerBaselineGain,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineGain; overlap=ModerateOverlap; cost=CostSavingOrNeutral."
Main,Step60-ModerateForestGeometry,10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,ModerateBaselineCeiling,EmergencyHighHeadroom,ModerateOverlap,CostSavingOrNeutral,StrongerBaselineGain,EffectiveRegime,"Applicable when risk/degradation creates exploitable scheduling headroom; stronger baselines are outperformed or nonnegative. Stronger=StrongerBaselineGain; overlap=ModerateOverlap; cost=CostSavingOrNeutral."
Main,Step60-ModerateForestGeometry,10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,ModerateBaselineCeiling,EmergencyHighHeadroom,HighBlindVegetationOverlap,CostSavingOrNeutral,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=HighBlindVegetationOverlap; cost=CostSavingOrNeutral."
Main,Step60-ModerateForestGeometry,10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,ModerateBaselineCeiling,PhysicallyHardEmergency,ModerateOverlap,EfficientGain,StrongerBaselineGain,FailureBoundary,"Physical deadline-reliability headroom is insufficient; do not claim method dominance. Stronger=StrongerBaselineGain; overlap=ModerateOverlap; cost=EfficientGain."
HeldOut,Step60-ModerateForestGeometry,10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,HighBaselineCeiling,EmergencyModerateHeadroom,HighBlindVegetationOverlap,CostInefficientBoundary,StrongerBaselineGain,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineGain; overlap=HighBlindVegetationOverlap; cost=CostInefficientBoundary."
HeldOut,Step60-ModerateForestGeometry,10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,HighBaselineCeiling,EmergencyHighHeadroom,ModerateOverlap,CostSavingOrNeutral,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=ModerateOverlap; cost=CostSavingOrNeutral."
HeldOut,Step60-ModerateForestGeometry,10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,HighBaselineCeiling,EmergencyHighHeadroom,ModerateOverlap,CostSavingOrNeutral,StrongerBaselineBoundary,GracefulDegradation,"Use as boundary evidence: gains are small, baseline ceiling is high, or cost-gain tradeoff is weak. Stronger=StrongerBaselineBoundary; overlap=ModerateOverlap; cost=CostSavingOrNeutral."
